theta,i,cx,cy,cxRot,cyRot,rBase,rRot,absDiff,absDiffToR,okAngle
0.000000,0,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,""
0.000000,1,0.866025,0.500000,0.866025,0.500000,1.000000,1.000000,0.000000,0.000000,""
0.000000,2,0.500000,0.866025,0.500000,0.866025,1.000000,1.000000,0.000000,0.000000,""
0.000000,3,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,""
0.000000,4,-0.500000,0.866025,-0.500000,0.866025,1.000000,1.000000,0.000000,0.000000,""
0.000000,5,-0.866025,0.500000,-0.866025,0.500000,1.000000,1.000000,0.000000,0.000000,""
0.000000,6,-1.000000,0.000000,-1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,""
0.000000,7,-0.866025,-0.500000,-0.866025,-0.500000,1.000000,1.000000,0.000000,0.000000,""
0.000000,8,-0.500000,-0.866025,-0.500000,-0.866025,1.000000,1.000000,0.000000,0.000000,""
0.000000,9,-0.000000,-1.000000,-0.000000,-1.000000,1.000000,1.000000,0.000000,0.000000,""
0.000000,10,0.500000,-0.866025,0.500000,-0.866025,1.000000,1.000000,0.000000,0.000000,""
0.000000,11,0.866025,-0.500000,0.866025,-0.500000,1.000000,1.000000,0.000000,0.000000,""
0.000000,-1,,,,,,0.000000,0.000000,true
0.523599,0,1.000000,0.000000,0.866025,0.500000,1.000000,1.000000,0.000000,0.000000,""
0.523599,1,0.866025,0.500000,0.500000,0.866025,1.000000,1.000000,0.000000,0.000000,""
0.523599,2,0.500000,0.866025,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,""
0.523599,3,0.000000,1.000000,-0.500000,0.866025,1.000000,1.000000,0.000000,0.000000,""
0.523599,4,-0.500000,0.866025,-0.866025,0.500000,1.000000,1.000000,0.000000,0.000000,""
0.523599,5,-0.866025,0.500000,-1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,""
0.523599,6,-1.000000,0.000000,-0.866025,-0.500000,1.000000,1.000000,0.000000,0.000000,""
0.523599,7,-0.866025,-0.500000,-0.500000,-0.866025,1.000000,1.000000,0.000000,0.000000,""
0.523599,8,-0.500000,-0.866025,-0.000000,-1.000000,1.000000,1.000000,0.000000,0.000000,""
0.523599,9,-0.000000,-1.000000,0.500000,-0.866025,1.000000,1.000000,0.000000,0.000000,""
0.523599,10,0.500000,-0.866025,0.866025,-0.500000,1.000000,1.000000,0.000000,0.000000,""
0.523599,11,0.866025,-0.500000,1.000000,-0.000000,1.000000,1.000000,0.000000,0.000000,""
0.523599,-1,,,,,,0.000000,0.000000,true
0.261799,0,1.000000,0.000000,0.965926,0.258819,1.000000,1.000000,0.000000,0.000000,""
0.261799,1,0.866025,0.500000,0.707107,0.707107,1.000000,1.000000,0.000000,0.000000,""
0.261799,2,0.500000,0.866025,0.258819,0.965926,1.000000,1.000000,0.000000,0.000000,""
0.261799,3,0.000000,1.000000,-0.258819,0.965926,1.000000,1.000000,0.000000,0.000000,""
0.261799,4,-0.500000,0.866025,-0.707107,0.707107,1.000000,1.000000,0.000000,0.000000,""
0.261799,5,-0.866025,0.500000,-0.965926,0.258819,1.000000,1.000000,0.000000,0.000000,""
0.261799,6,-1.000000,0.000000,-0.965926,-0.258819,1.000000,1.000000,0.000000,0.000000,""
0.261799,7,-0.866025,-0.500000,-0.707107,-0.707107,1.000000,1.000000,0.000000,0.000000,""
0.261799,8,-0.500000,-0.866025,-0.258819,-0.965926,1.000000,1.000000,0.000000,0.000000,""
0.261799,9,-0.000000,-1.000000,0.258819,-0.965926,1.000000,1.000000,0.000000,0.000000,""
0.261799,10,0.500000,-0.866025,0.707107,-0.707107,1.000000,1.000000,0.000000,0.000000,""
0.261799,11,0.866025,-0.500000,0.965926,-0.258819,1.000000,1.000000,0.000000,0.000000,""
0.261799,-1,,,,,,0.000000,0.000000,true
0.448799,0,1.000000,0.000000,0.900969,0.433884,1.000000,1.000000,0.000000,0.000000,""
0.448799,1,0.866025,0.500000,0.563320,0.826239,1.000000,1.000000,0.000000,0.000000,""
0.448799,2,0.500000,0.866025,0.074730,0.997204,1.000000,1.000000,0.000000,0.000000,""
0.448799,3,0.000000,1.000000,-0.433884,0.900969,1.000000,1.000000,0.000000,0.000000,""
0.448799,4,-0.500000,0.866025,-0.826239,0.563320,1.000000,1.000000,0.000000,0.000000,""
0.448799,5,-0.866025,0.500000,-0.997204,0.074730,1.000000,1.000000,0.000000,0.000000,""
0.448799,6,-1.000000,0.000000,-0.900969,-0.433884,1.000000,1.000000,0.000000,0.000000,""
0.448799,7,-0.866025,-0.500000,-0.563320,-0.826239,1.000000,1.000000,0.000000,0.000000,""
0.448799,8,-0.500000,-0.866025,-0.074730,-0.997204,1.000000,1.000000,0.000000,0.000000,""
0.448799,9,-0.000000,-1.000000,0.433884,-0.900969,1.000000,1.000000,0.000000,0.000000,""
0.448799,10,0.500000,-0.866025,0.826239,-0.563320,1.000000,1.000000,0.000000,0.000000,""
0.448799,11,0.866025,-0.500000,0.997204,-0.074730,1.000000,1.000000,0.000000,0.000000,""
0.448799,-1,,,,,,0.000000,0.000000,true
1.047198,0,1.000000,0.000000,0.500000,0.866025,1.000000,1.000000,0.000000,0.000000,""
1.047198,1,0.866025,0.500000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,""
1.047198,2,0.500000,0.866025,-0.500000,0.866025,1.000000,1.000000,0.000000,0.000000,""
